,idno,gndr,agea,region,prtvtddk,edlvddk,infqbst,grspnum
1485,145688,Male,35,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,6000.0
1486,145702,Female,47,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,3500.0
1487,145749,Female,57,DK03,Refusal,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
1488,145866,Male,26,DK02,Kristendemokraterne - Christian Democrats,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,18500.0
1489,146100,Male,48,DK05,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,39500.0
1490,146252,Male,70,DK05,Dansk Folkeparti - Danish People's Party,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,
1491,146261,Male,51,DK01,Dansk Folkeparti - Danish People's Party,Folkeskole 9.-10. klasse,Monthly,27000.0
1492,146279,Male,26,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party",Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,
1493,146280,Male,52,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,25000.0
1494,146315,Female,73,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
1495,146339,Male,39,DK03,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,3000000.0
1496,146395,Female,18,DK03,Not applicable,Folkeskole 9.-10. klasse,Monthly,7000.0
1497,146400,Male,45,DK01,Not applicable,Folkeskole 9.-10. klasse,Monthly,
1498,146447,Male,29,DK04,Not applicable,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,14500.0
1499,146464,Male,85,DK03,Not applicable,Universitetsbachelor. 1. del af kandidatuddannelse,Annual,
1500,146522,Male,63,DK02,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
1501,146578,Female,56,DK04,Det Radikale Venstre - The Radical Liberal Party,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,53000.0
1502,146648,Male,48,DK04,Socialdemokratiet - The Social democrats,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,40000.0
1503,146689,Female,26,DK04,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,36000.0
1504,146703,Male,61,DK01,Not applicable,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,
